nohup: ignoring input
[1] order5big_0003: THEOREM (60.2s)  running={'THEOREM': 1}
[57] order5big_0451: LINEAR (0.0s)  running={'THEOREM': 27, 'LINEAR': 27, 'SOLVED_FMB': 3}
[58] order5big_0459: THEOREM (60.2s)  running={'THEOREM': 28, 'LINEAR': 27, 'SOLVED_FMB': 3}
[59] order5big_0467: THEOREM (71.9s)  running={'THEOREM': 29, 'LINEAR': 27, 'SOLVED_FMB': 3}
[60] order5big_0475: LINEAR (0.0s)  running={'THEOREM': 29, 'LINEAR': 28, 'SOLVED_FMB': 3}
[61] order5big_0483: THEOREM (60.5s)  running={'THEOREM': 30, 'LINEAR': 28, 'SOLVED_FMB': 3}
[62] order5big_0491: LINEAR (0.0s)  running={'THEOREM': 30, 'LINEAR': 29, 'SOLVED_FMB': 3}
[63] order5big_0499: LINEAR (0.0s)  running={'THEOREM': 30, 'LINEAR': 30, 'SOLVED_FMB': 3}
[64] order5big_0507: THEOREM (60.4s)  running={'THEOREM': 31, 'LINEAR': 30, 'SOLVED_FMB': 3}
[65] order5big_0515: HARD_NONLINEAR (120.2s)  running={'THEOREM': 31, 'LINEAR': 30, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[66] order5big_0523: LINEAR (0.0s)  running={'THEOREM': 31, 'LINEAR': 31, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[67] order5big_0531: LINEAR (0.0s)  running={'THEOREM': 31, 'LINEAR': 32, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[68] order5big_0539: LINEAR (0.0s)  running={'THEOREM': 31, 'LINEAR': 33, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[69] order5big_0547: LINEAR (0.0s)  running={'THEOREM': 31, 'LINEAR': 34, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[70] order5big_0555: THEOREM (60.2s)  running={'THEOREM': 32, 'LINEAR': 34, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[71] order5big_0563: THEOREM (60.3s)  running={'THEOREM': 33, 'LINEAR': 34, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[72] order5big_0571: THEOREM (60.4s)  running={'THEOREM': 34, 'LINEAR': 34, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[73] order5big_0579: LINEAR (0.0s)  running={'THEOREM': 34, 'LINEAR': 35, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[74] order5big_0587: LINEAR (0.0s)  running={'THEOREM': 34, 'LINEAR': 36, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[75] order5big_0595: LINEAR (0.0s)  running={'THEOREM': 34, 'LINEAR': 37, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[76] order5big_0603: THEOREM (60.2s)  running={'THEOREM': 35, 'LINEAR': 37, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[77] order5big_0611: THEOREM (60.2s)  running={'THEOREM': 36, 'LINEAR': 37, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[78] order5big_0619: LINEAR (0.0s)  running={'THEOREM': 36, 'LINEAR': 38, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[79] order5big_0627: LINEAR (0.0s)  running={'THEOREM': 36, 'LINEAR': 39, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[80] order5big_0635: THEOREM (60.2s)  running={'THEOREM': 37, 'LINEAR': 39, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[81] order5big_0643: THEOREM (84.8s)  running={'THEOREM': 38, 'LINEAR': 39, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[82] order5big_0651: LINEAR (0.0s)  running={'THEOREM': 38, 'LINEAR': 40, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[83] order5big_0659: THEOREM (60.6s)  running={'THEOREM': 39, 'LINEAR': 40, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[84] order5big_0667: LINEAR (0.0s)  running={'THEOREM': 39, 'LINEAR': 41, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[85] order5big_0675: LINEAR (0.0s)  running={'THEOREM': 39, 'LINEAR': 42, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[86] order5big_0683: LINEAR (0.0s)  running={'THEOREM': 39, 'LINEAR': 43, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[87] order5big_0691: THEOREM (60.2s)  running={'THEOREM': 40, 'LINEAR': 43, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[88] order5big_0699: LINEAR (0.0s)  running={'THEOREM': 40, 'LINEAR': 44, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[89] order5big_0707: LINEAR (0.0s)  running={'THEOREM': 40, 'LINEAR': 45, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[90] order5big_0715: THEOREM (60.2s)  running={'THEOREM': 41, 'LINEAR': 45, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[91] order5big_0723: LINEAR (0.0s)  running={'THEOREM': 41, 'LINEAR': 46, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[92] order5big_0731: THEOREM (205.4s)  running={'THEOREM': 42, 'LINEAR': 46, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[93] order5big_0739: LINEAR (0.0s)  running={'THEOREM': 42, 'LINEAR': 47, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[94] order5big_0747: THEOREM (60.2s)  running={'THEOREM': 43, 'LINEAR': 47, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[95] order5big_0755: LINEAR (0.0s)  running={'THEOREM': 43, 'LINEAR': 48, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[96] order5big_0763: LINEAR (0.0s)  running={'THEOREM': 43, 'LINEAR': 49, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[97] order5big_0771: LINEAR (0.0s)  running={'THEOREM': 43, 'LINEAR': 50, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[98] order5big_0779: THEOREM (64.8s)  running={'THEOREM': 44, 'LINEAR': 50, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[99] order5big_0787: LINEAR (0.0s)  running={'THEOREM': 44, 'LINEAR': 51, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[100] order5big_0795: LINEAR (0.0s)  running={'THEOREM': 44, 'LINEAR': 52, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[101] order5big_0803: THEOREM (60.2s)  running={'THEOREM': 45, 'LINEAR': 52, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[102] order5big_0811: THEOREM (60.5s)  running={'THEOREM': 46, 'LINEAR': 52, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[103] order5big_0819: THEOREM (60.2s)  running={'THEOREM': 47, 'LINEAR': 52, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[104] order5big_0827: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 53, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[105] order5big_0835: LINEAR (0.0s)  running={'THEOREM': 47, 'LINEAR': 54, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[106] order5big_0843: THEOREM (60.2s)  running={'THEOREM': 48, 'LINEAR': 54, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[107] order5big_0851: LINEAR (0.0s)  running={'THEOREM': 48, 'LINEAR': 55, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[108] order5big_0859: LINEAR (0.0s)  running={'THEOREM': 48, 'LINEAR': 56, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[109] order5big_0867: THEOREM (60.4s)  running={'THEOREM': 49, 'LINEAR': 56, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[110] order5big_0875: THEOREM (60.2s)  running={'THEOREM': 50, 'LINEAR': 56, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[111] order5big_0883: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 57, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[112] order5big_0891: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 58, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[113] order5big_0899: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 59, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[114] order5big_0907: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 60, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[115] order5big_0915: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 61, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[116] order5big_0923: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 62, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[117] order5big_0931: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 63, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[118] order5big_0939: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 64, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[119] order5big_0947: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 65, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[120] order5big_0955: LINEAR (0.0s)  running={'THEOREM': 50, 'LINEAR': 66, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[121] order5big_0963: THEOREM (60.2s)  running={'THEOREM': 51, 'LINEAR': 66, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[122] order5big_0971: LINEAR (0.0s)  running={'THEOREM': 51, 'LINEAR': 67, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[123] order5big_0979: LINEAR (0.0s)  running={'THEOREM': 51, 'LINEAR': 68, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[124] order5big_0987: LINEAR (0.0s)  running={'THEOREM': 51, 'LINEAR': 69, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[125] order5big_0995: THEOREM (60.2s)  running={'THEOREM': 52, 'LINEAR': 69, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[126] order5big_1003: THEOREM (60.1s)  running={'THEOREM': 53, 'LINEAR': 69, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[127] order5big_1011: LINEAR (0.0s)  running={'THEOREM': 53, 'LINEAR': 70, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[128] order5big_1019: LINEAR (0.0s)  running={'THEOREM': 53, 'LINEAR': 71, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[129] order5big_1027: THEOREM (60.4s)  running={'THEOREM': 54, 'LINEAR': 71, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[130] order5big_1035: THEOREM (60.4s)  running={'THEOREM': 55, 'LINEAR': 71, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[131] order5big_1043: LINEAR (0.0s)  running={'THEOREM': 55, 'LINEAR': 72, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[132] order5big_1051: LINEAR (0.0s)  running={'THEOREM': 55, 'LINEAR': 73, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[133] order5big_1059: LINEAR (0.0s)  running={'THEOREM': 55, 'LINEAR': 74, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[134] order5big_1067: THEOREM (65.1s)  running={'THEOREM': 56, 'LINEAR': 74, 'SOLVED_FMB': 3, 'HARD_NONLINEAR': 1}
[135] order5big_1075: SOLVED_FMB (0.2s)  running={'THEOREM': 56, 'LINEAR': 74, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[136] order5big_1083: THEOREM (60.3s)  running={'THEOREM': 57, 'LINEAR': 74, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[137] order5big_1091: LINEAR (0.0s)  running={'THEOREM': 57, 'LINEAR': 75, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[138] order5big_1099: LINEAR (0.0s)  running={'THEOREM': 57, 'LINEAR': 76, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[139] order5big_1107: LINEAR (0.0s)  running={'THEOREM': 57, 'LINEAR': 77, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
