nohup: ignoring input
[1] order5big_0001: LINEAR (0.0s)  running={'LINEAR': 1}
[50] order5big_0393: THEOREM (60.6s)  running={'LINEAR': 26, 'THEOREM': 21, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[51] order5big_0401: THEOREM (60.2s)  running={'LINEAR': 26, 'THEOREM': 22, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 2}
[52] order5big_0409: SOLVED_FMB (0.4s)  running={'LINEAR': 26, 'THEOREM': 22, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[53] order5big_0417: LINEAR (0.0s)  running={'LINEAR': 27, 'THEOREM': 22, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[54] order5big_0425: THEOREM (60.4s)  running={'LINEAR': 27, 'THEOREM': 23, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[55] order5big_0433: THEOREM (55.5s)  running={'LINEAR': 27, 'THEOREM': 24, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[56] order5big_0441: THEOREM (60.2s)  running={'LINEAR': 27, 'THEOREM': 25, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[57] order5big_0449: LINEAR (0.0s)  running={'LINEAR': 28, 'THEOREM': 25, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[58] order5big_0457: LINEAR (0.0s)  running={'LINEAR': 29, 'THEOREM': 25, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[59] order5big_0465: LINEAR (0.0s)  running={'LINEAR': 30, 'THEOREM': 25, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[60] order5big_0473: THEOREM (60.2s)  running={'LINEAR': 30, 'THEOREM': 26, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[61] order5big_0481: THEOREM (60.6s)  running={'LINEAR': 30, 'THEOREM': 27, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[62] order5big_0489: LINEAR (0.0s)  running={'LINEAR': 31, 'THEOREM': 27, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[63] order5big_0497: THEOREM (60.3s)  running={'LINEAR': 31, 'THEOREM': 28, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[64] order5big_0505: THEOREM (11.0s)  running={'LINEAR': 31, 'THEOREM': 29, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[65] order5big_0513: LINEAR (0.0s)  running={'LINEAR': 32, 'THEOREM': 29, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[66] order5big_0521: LINEAR (0.0s)  running={'LINEAR': 33, 'THEOREM': 29, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[67] order5big_0529: LINEAR (0.0s)  running={'LINEAR': 34, 'THEOREM': 29, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[68] order5big_0537: LINEAR (0.0s)  running={'LINEAR': 35, 'THEOREM': 29, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[69] order5big_0545: LINEAR (0.0s)  running={'LINEAR': 36, 'THEOREM': 29, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[70] order5big_0553: LINEAR (0.0s)  running={'LINEAR': 37, 'THEOREM': 29, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[71] order5big_0561: LINEAR (0.0s)  running={'LINEAR': 38, 'THEOREM': 29, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[72] order5big_0569: LINEAR (0.0s)  running={'LINEAR': 39, 'THEOREM': 29, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[73] order5big_0577: LINEAR (0.0s)  running={'LINEAR': 40, 'THEOREM': 29, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[74] order5big_0585: THEOREM (60.2s)  running={'LINEAR': 40, 'THEOREM': 30, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[75] order5big_0593: THEOREM (60.2s)  running={'LINEAR': 40, 'THEOREM': 31, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[76] order5big_0601: THEOREM (60.2s)  running={'LINEAR': 40, 'THEOREM': 32, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[77] order5big_0609: LINEAR (0.0s)  running={'LINEAR': 41, 'THEOREM': 32, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[78] order5big_0617: LINEAR (0.0s)  running={'LINEAR': 42, 'THEOREM': 32, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[79] order5big_0625: LINEAR (0.0s)  running={'LINEAR': 43, 'THEOREM': 32, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[80] order5big_0633: THEOREM (60.2s)  running={'LINEAR': 43, 'THEOREM': 33, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[81] order5big_0641: THEOREM (60.1s)  running={'LINEAR': 43, 'THEOREM': 34, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[82] order5big_0649: THEOREM (2.6s)  running={'LINEAR': 43, 'THEOREM': 35, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[83] order5big_0657: THEOREM (60.1s)  running={'LINEAR': 43, 'THEOREM': 36, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[84] order5big_0665: THEOREM (60.6s)  running={'LINEAR': 43, 'THEOREM': 37, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[85] order5big_0673: THEOREM (19.6s)  running={'LINEAR': 43, 'THEOREM': 38, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[86] order5big_0681: LINEAR (0.0s)  running={'LINEAR': 44, 'THEOREM': 38, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[87] order5big_0689: LINEAR (0.0s)  running={'LINEAR': 45, 'THEOREM': 38, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[88] order5big_0697: THEOREM (3.9s)  running={'LINEAR': 45, 'THEOREM': 39, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[89] order5big_0705: LINEAR (0.0s)  running={'LINEAR': 46, 'THEOREM': 39, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[90] order5big_0713: THEOREM (60.3s)  running={'LINEAR': 46, 'THEOREM': 40, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[91] order5big_0721: THEOREM (60.4s)  running={'LINEAR': 46, 'THEOREM': 41, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[92] order5big_0729: LINEAR (0.0s)  running={'LINEAR': 47, 'THEOREM': 41, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[93] order5big_0737: LINEAR (0.0s)  running={'LINEAR': 48, 'THEOREM': 41, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[94] order5big_0745: LINEAR (0.0s)  running={'LINEAR': 49, 'THEOREM': 41, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[95] order5big_0753: THEOREM (60.2s)  running={'LINEAR': 49, 'THEOREM': 42, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[96] order5big_0761: THEOREM (60.2s)  running={'LINEAR': 49, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[97] order5big_0769: LINEAR (0.0s)  running={'LINEAR': 50, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[98] order5big_0777: LINEAR (0.0s)  running={'LINEAR': 51, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[99] order5big_0785: LINEAR (0.0s)  running={'LINEAR': 52, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
